Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Adley Rutschman#,1,26,C,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,105.0,0.313,107.0,223,9,2,0,7,3,2D/H,AS,rutscad01
Ryan Mountcastle,2,27,1B,2.6,124,507,473,54,128,30,2,13,63,3,0,27,114,0.271,0.308,0.425,0.733,110.0,0.323,114.0,201,13,1,0,6,0,*3H/D,,mountry01
Jackson Holliday*,3,20,2B,0.1,60,208,190,28,36,4,2,5,23,4,0,15,69,0.189,0.255,0.311,0.565,63.0,0.265,70.0,59,1,2,0,1,0,4/H6D,,hollija01
Gunnar Henderson*,4,23,SS,9.1,159,719,630,118,177,31,7,37,92,21,4,78,159,0.281,0.364,0.529,0.893,155.0,0.385,157.0,333,2,7,0,4,1,*6/D,ASMVP-4,hendegu01
Ramón Urías,5,30,3B,1.5,100,301,272,39,69,9,2,11,37,1,1,23,55,0.254,0.322,0.423,0.745,114.0,0.326,117.0,115,0,5,0,1,0,5/H4D3,,uriasra01
Colton Cowser*,6,24,LF,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,0.242,0.321,0.447,0.768,120.0,0.329,119.0,223,9,7,0,3,2,*789H/D,ROY-2,cowseco01
Cedric Mullins*,7,29,CF,2.6,147,499,444,69,104,16,3,18,54,32,6,41,98,0.234,0.305,0.405,0.71,104.0,0.322,107.0,180,1,5,2,2,0,*8H/D,,mullice01
Anthony Santander#,8,29,RF,2.9,155,665,595,91,140,25,2,44,102,2,0,58,129,0.235,0.308,0.506,0.814,131.0,0.346,131.0,301,9,7,0,5,3,*9D/3H,ASMVP-14SS,santaan02
Ryan O'Hearn*,9,30,DH,2.0,142,494,443,60,117,21,3,15,59,3,1,46,69,0.264,0.334,0.427,0.761,119.0,0.337,125.0,189,7,2,0,3,2,3DH9/7,,ohearry01
Jordan Westburg,10,25,IF,2.4,107,447,416,57,110,26,5,18,63,6,3,22,97,0.264,0.312,0.481,0.792,126.0,0.34,127.0,200,5,7,1,1,0,54/6D,AS,westbjo01
James McCann,11,34,C,0.8,65,233,214,27,50,9,0,8,31,1,0,13,56,0.234,0.279,0.388,0.667,91.0,0.293,93.0,83,3,2,0,4,0,1-Feb,,mccanja02
Jorge Mateo,12,29,2B,0.9,68,208,192,30,44,14,2,5,18,13,2,10,48,0.229,0.267,0.401,0.668,91.0,0.294,87.0,77,3,1,2,3,0,4/6H8D,,mateojo01
Austin Hays,13,28,LF,0.2,63,175,157,18,40,13,0,3,14,0,1,9,40,0.255,0.316,0.395,0.711,105.0,0.316,112.0,62,1,6,1,2,1,7H/9D,,haysau01
Heston Kjerstad*,14,25,OF,0.4,39,114,99,8,25,2,0,4,14,1,0,10,33,0.253,0.351,0.394,0.745,116.0,0.336,123.0,39,0,5,0,0,2,D7H/9,,kjershe01
Eloy Jiménez,15,27,DH,-0.2,33,100,95,7,22,5,0,1,7,0,0,4,23,0.232,0.27,0.316,0.586,70.0,0.276,81.0,30,2,1,0,0,0,D/H,,jimenel02
Austin Slater,16,31,OF,0.5,33,79,69,10,17,3,0,1,6,1,1,8,23,0.246,0.342,0.333,0.675,98.0,0.311,109.0,23,2,2,0,0,0,79H/8,,slateau01
Emmanuel Rivera,17,28,3B,0.2,27,73,64,9,20,3,1,4,14,0,0,6,18,0.313,0.37,0.578,0.948,170.0,0.392,165.0,37,2,1,0,2,0,5/3HD,,riverem01
Coby Mayo,18,22,CI,-0.7,17,46,41,4,4,0,0,0,0,0,0,4,22,0.098,0.196,0.098,0.293,-11.0,0.153,-7.0,4,1,1,0,0,0,5/H3,,mayoco01
Kyle Stowers*,19,26,OF,0.2,19,37,36,3,11,4,0,1,9,0,1,0,13,0.306,0.297,0.5,0.797,126.0,0.346,141.0,18,0,0,0,1,0,/97HD,,stoweky01
Connor Norby,20,24,2B,0.1,9,32,32,3,6,1,0,2,3,0,0,0,12,0.188,0.188,0.406,0.594,66.0,0.247,60.0,13,1,0,0,0,0,/4,,norbyco01
Liván Soto*,21,24,IF,0.2,12,13,10,1,3,1,0,0,0,0,0,3,2,0.3,0.462,0.4,0.862,154.0,0.392,164.0,4,0,0,0,0,0,/456DH,,sotoli01
Tony Kemp*,22,32,UT,-0.2,5,10,9,1,0,0,0,0,0,0,0,1,1,0.0,0.1,0.0,0.1,-67.0,0.069,-67.0,0,0,0,0,0,0,/4H7,,kempto01
Ryan McKenna,23,27,OF,0.1,9,9,8,3,3,0,0,2,2,0,1,1,1,0.375,0.444,1.125,1.569,335.0,0.563,326.0,9,0,0,0,0,0,/9H78,,mckenry01
Nick Maton*,24,27,IF,-0.1,5,5,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,-116.0,0,0,0,0,0,0,/5H4D,,matonni01
David Bañuelos,25,27,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-127.0,0,0,0,0,0,0,/H,,banueda01
Cristian Pache,26,25,RF,0.1,3,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,485.0,0.795,464.0,1,0,0,0,0,0,/9H,,pachecr01
Daniel Johnson*,27,28,RF,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-127.0,0,0,0,0,0,0,/9H,,johnsda07
Jacob Webb,28,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,webbja01
Danny Coulombe*,29,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,couloda01
Mike Baumann,30,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,baumami01
Albert Suárez,31,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,suareal01
Seranthony Domínguez,32,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,dominse01
Jonathan Heasley,33,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,heasljo01
Craig Kimbrel,34,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kimbrcr01
